run_id,campaign,model,method,seed,steps,regime,math500,aime24,olympiadbench,minerva_math,gsm8k,kk_hard,bbh_logical_deduction,bbh_tracking,zebra_logic_mc,gpqa_diamond,mmlu_pro_chemistry,mmlu_pro_physics
v2_mix05b__reward_gap_s2,mixer,Qwen2.5-0.5B-Instruct,reward_gap,2,300,,46.6,0.0,8.4,6.6,52.8,1.0,24.0,21.6,11.6,22.727272727272727,13.8,15.0
v2_mix05b__reward_gap_s3,mixer,Qwen2.5-0.5B-Instruct,reward_gap,3,300,,48.2,0.0,8.0,11.4,52.0,0.5,24.266666666666666,22.133333333333333,18.2,22.22222222222222,12.0,14.6
v2_mix05b__static_s1,mixer,Qwen2.5-0.5B-Instruct,static,1,300,,50.0,0.0,8.3,7.0,53.1,1.0,24.533333333333335,22.666666666666668,15.0,22.727272727272727,15.2,13.8
v2_mix05b__static_s2,mixer,Qwen2.5-0.5B-Instruct,static,2,300,,49.8,0.0,9.8,8.5,52.5,1.0,22.133333333333333,20.933333333333334,12.0,25.757575757575758,15.0,15.6
v2_mix05b__static_s3,mixer,Qwen2.5-0.5B-Instruct,static,3,300,,47.8,0.0,10.1,7.7,52.5,1.0,22.8,22.266666666666666,18.2,23.232323232323232,15.4,15.4
v2_mix05b__tscl_s1,mixer,Qwen2.5-0.5B-Instruct,tscl,1,300,,46.2,0.0,8.9,9.2,51.5,0.5,22.8,22.533333333333335,17.2,22.727272727272727,14.8,14.4
v2_mix05b__tscl_s2,mixer,Qwen2.5-0.5B-Instruct,tscl,2,300,,47.0,0.0,8.9,6.6,54.7,1.5,22.8,20.133333333333333,12.0,23.737373737373737,15.8,12.8
v2_mix05b__tscl_s3,mixer,Qwen2.5-0.5B-Instruct,tscl,3,300,,48.0,3.3,8.9,7.7,53.5,1.0,22.133333333333333,20.666666666666668,14.2,23.232323232323232,14.6,14.8
v3_qwen7b__baseline_s1,crossfamily,Qwen2.5-7B-base,baseline,1,300,,86.2,13.3,37.9,34.2,91.4,25.5,66.0,76.8,26.0,30.80808080808081,53.4,57.0
v3_qwen7b__baseline_s2,crossfamily,Qwen2.5-7B-base,baseline,2,300,,85.0,13.3,37.0,34.2,91.7,18.5,70.26666666666667,78.4,31.2,32.82828282828283,51.6,60.0
v3_qwen7b__baseline_s3,crossfamily,Qwen2.5-7B-base,baseline,3,300,,84.0,13.3,39.9,35.7,90.7,19.5,60.666666666666664,75.86666666666666,29.4,34.84848484848485,50.0,56.0
v3_qwen7b__difffilter_s1,crossfamily,Qwen2.5-7B-base,difffilter,1,300,,85.2,13.3,36.7,33.1,91.4,21.5,63.2,71.86666666666666,37.4,35.35353535353536,51.2,53.4
v3_qwen7b__difffilter_s2,crossfamily,Qwen2.5-7B-base,difffilter,2,300,,83.8,20.0,38.7,36.0,91.2,16.0,67.86666666666666,77.73333333333333,35.6,26.262626262626263,55.0,56.6
v3_qwen7b__difffilter_s3,crossfamily,Qwen2.5-7B-base,difffilter,3,300,,83.8,13.3,36.7,32.4,90.4,13.5,70.93333333333334,75.73333333333333,29.2,33.83838383838384,51.8,56.4
v3_qwen7b__maxvar_s1,crossfamily,Qwen2.5-7B-base,maxvar,1,300,,83.0,10.0,38.1,37.1,89.6,18.0,60.4,77.6,27.6,32.323232323232325,54.0,53.8
v3_qwen7b__maxvar_s2,crossfamily,Qwen2.5-7B-base,maxvar,2,300,,84.2,6.7,36.0,36.0,91.7,19.0,66.0,79.2,35.4,29.292929292929294,52.0,59.2
v3_qwen7b__maxvar_s3,crossfamily,Qwen2.5-7B-base,maxvar,3,300,,85.2,13.3,36.7,36.0,91.3,23.0,67.46666666666667,80.4,23.8,31.818181818181817,55.6,61.8
v3_qwen7b__topk_s1,crossfamily,Qwen2.5-7B-base,topk,1,300,,84.4,16.7,36.9,36.4,91.4,23.0,69.2,83.33333333333333,32.2,37.878787878787875,53.4,55.2
v3_qwen7b__topk_s2,crossfamily,Qwen2.5-7B-base,topk,2,300,,85.0,13.3,37.8,34.2,91.1,23.5,65.73333333333333,78.26666666666667,34.0,32.82828282828283,53.8,56.4
v3_qwen7b__topk_s3,crossfamily,Qwen2.5-7B-base,topk,3,300,,83.2,16.7,37.5,34.2,91.7,19.5,66.13333333333334,74.93333333333334,28.2,31.31313131313131,55.4,56.4
v3_llama8b__baseline_s1,crossfamily,Llama-3.1-8B-base,baseline,1,300,,29.2,0.0,5.8,8.5,40.6,7.0,39.6,20.8,12.6,26.262626262626263,18.8,22.4
v3_llama8b__baseline_s2,crossfamily,Llama-3.1-8B-base,baseline,2,300,,35.6,0.0,4.0,5.5,51.2,1.5,38.53333333333333,26.0,14.2,27.77777777777778,19.0,24.4
v3_llama8b__baseline_s3,crossfamily,Llama-3.1-8B-base,baseline,3,300,,34.2,0.0,3.7,8.5,45.6,0.0,43.06666666666667,24.533333333333335,23.0,23.737373737373737,22.4,23.6
v3_llama8b__difffilter_s1,crossfamily,Llama-3.1-8B-base,difffilter,1,300,,19.2,3.3,3.6,9.2,10.7,5.0,42.666666666666664,20.0,10.4,25.252525252525253,17.8,22.4
v3_llama8b__difffilter_s2,crossfamily,Llama-3.1-8B-base,difffilter,2,300,,25.0,0.0,4.7,7.4,21.1,5.0,40.93333333333333,19.733333333333334,25.8,23.737373737373737,17.8,19.6
v3_llama8b__difffilter_s3,crossfamily,Llama-3.1-8B-base,difffilter,3,300,,40.2,0.0,5.8,13.2,61.9,5.5,47.06666666666667,40.8,22.6,24.747474747474747,16.4,20.6
v3_llama8b__maxvar_s1,crossfamily,Llama-3.1-8B-base,maxvar,1,300,,30.6,0.0,3.7,7.0,43.6,6.5,38.13333333333333,20.133333333333333,11.2,24.747474747474747,18.2,20.4
v3_llama8b__maxvar_s2,crossfamily,Llama-3.1-8B-base,maxvar,2,300,,34.6,0.0,4.3,6.6,47.6,1.0,42.8,24.4,20.2,25.252525252525253,16.0,20.4
v3_llama8b__maxvar_s3,crossfamily,Llama-3.1-8B-base,maxvar,3,300,,28.8,0.0,4.7,6.6,30.4,4.5,40.13333333333333,20.8,14.8,27.272727272727273,24.2,26.0
v3_llama8b__topk_s1,crossfamily,Llama-3.1-8B-base,topk,1,300,,31.0,0.0,3.7,5.1,40.2,3.0,41.733333333333334,19.733333333333334,18.2,27.77777777777778,19.4,22.4
v3_llama8b__topk_s2,crossfamily,Llama-3.1-8B-base,topk,2,300,,29.8,0.0,4.0,6.2,38.8,5.0,39.6,19.466666666666665,17.8,25.757575757575758,17.8,20.4
v3_llama8b__topk_s3,crossfamily,Llama-3.1-8B-base,topk,3,300,,12.8,0.0,3.0,4.4,18.0,4.5,40.93333333333333,20.666666666666668,21.6,26.262626262626263,20.8,22.8
v3_qwen14b__baseline_s1,crossfamily,Qwen2.5-14B-base,baseline,1,300,,88.6,10.0,43.4,40.8,94.2,66.5,81.46666666666667,89.6,36.0,44.44444444444444,65.0,65.6
v3_qwen14b__baseline_s2,crossfamily,Qwen2.5-14B-base,baseline,2,300,,89.8,10.0,44.7,39.0,94.2,41.0,84.93333333333334,83.6,31.4,46.464646464646464,61.8,66.8
v3_qwen14b__baseline_s3,crossfamily,Qwen2.5-14B-base,baseline,3,300,,89.0,10.0,44.0,39.3,93.8,56.0,82.0,84.4,33.0,44.94949494949495,65.2,67.2
v3_qwen14b__difffilter_s1,crossfamily,Qwen2.5-14B-base,difffilter,1,300,,88.2,20.0,42.8,40.1,95.0,69.5,82.93333333333334,85.73333333333333,39.4,37.878787878787875,67.0,67.6
v3_qwen14b__difffilter_s2,crossfamily,Qwen2.5-14B-base,difffilter,2,300,,89.0,26.7,43.9,40.1,94.2,77.5,81.73333333333333,91.2,37.8,43.93939393939394,64.6,65.0
v3_qwen14b__difffilter_s3,crossfamily,Qwen2.5-14B-base,difffilter,3,300,,87.8,10.0,41.6,37.9,94.9,40.0,83.73333333333333,88.8,33.8,39.39393939393939,63.2,66.6
